final
X	Y
12.8175 1.01288853513e-23
12.8325 8.2667613888e-24
12.8475 6.74434641521e-24
12.8625 5.50015660177e-24
12.8775 4.48374555232e-24
12.8925 3.65373949687e-24
12.9075 2.97621922196e-24
12.9225 2.42338809435e-24
12.9375 1.97247604296e-24
12.9525 1.6048380689e-24
12.9675 1.30521306158e-24
12.9825 1.0611146642e-24
12.9975 8.62330867895e-25
13.0125 7.00513095123e-25
13.0275 5.68838906832e-25
13.0425 4.61735255566e-25
13.0575 3.7465150916e-25
13.0725 3.03873370376e-25
13.0875 2.46370386378e-25
13.1025 1.99671035787e-25
13.1175 1.61760447818e-25
13.1325 1.30996687201e-25
13.1475 1.06042262888e-25
13.1625 8.58081149569e-26
13.1775 6.94078250884e-26
13.1925 5.61201998841e-26
13.2075 4.5358708504e-26
13.2225 3.6646529185e-26
13.2375 2.95961836061e-26
13.2525 2.38929223826e-26
13.2675 1.92811763063e-26
13.2825 1.5553512143e-26
13.2975 1.25416336814e-26
13.3125 1.01090522688e-26
13.3275 8.14511954664e-27
13.3425 6.56017119793e-27
13.3575 5.28157646634e-27
13.3725 4.25052581496e-27
13.3875 3.41941987005e-27
13.4025 2.74974796642e-27
13.4175 2.21036519134e-27
13.4325 1.77609364214e-27
13.4475 1.42658735207e-27
13.4625 1.14541155705e-27
13.4775 9.19296132584e-28
13.4925 7.37530500527e-28
13.5075 5.91473397535e-28
13.5225 4.74155863304e-28
13.5375 3.79959853263e-28
13.5525 3.04358176351e-28
13.5675 2.43704141824e-28
13.5825 1.95061482779e-28
13.5975 1.56066900487e-28
13.6125 1.24819017993e-28
13.6275 9.97887054822e-29
13.6425 7.974669368e-29
13.6575 6.370516614e-29
13.6725 5.08706500572e-29
13.6875 4.0606035429e-29
13.7025 3.23999662074e-29
13.7175 2.58421825762e-29
13.7325 2.06036653758e-29
13.7475 1.64206539375e-29
13.7625 1.30817869321e-29
13.7775 1.04177601742e-29
13.7925 8.29301211115e-30
13.8075 6.59904216146e-30
13.8225 5.24904341398e-30
13.8375 4.17359288782e-30
13.8525 3.31719237718e-30
13.8675 2.63549313313e-30
13.8825 2.09307009852e-30
13.8975 1.66163760034e-30
13.9125 1.31861952116e-30
13.9275 1.04600399152e-30
13.9425 8.29426358663e-31
13.9575 6.57435230191e-31
13.9725 5.20905282132e-31
13.9875 4.12567674077e-31
14.0025 3.26634668429e-31
14.0175 2.58499676864e-31
14.0325 2.0449767512e-31
14.0475 1.61713913943e-31
14.0625 1.27831252384e-31
14.0775 1.01008364711e-31
14.0925 7.97826167244e-32
